#    L    TT             EE             TE             PP             TP          
   265    0.49842E+04    0.39151E+01    0.87124E+02    0.20222E+07    0.13971E+04
   266    0.49582E+04    0.40328E+01    0.88465E+02    0.20136E+07    0.13852E+04
   267    0.49318E+04    0.41526E+01    0.89775E+02    0.20051E+07    0.13734E+04
   268    0.49050E+04    0.42746E+01    0.91069E+02    0.19966E+07    0.13617E+04
   269    0.48777E+04    0.43988E+01    0.92339E+02    0.19882E+07    0.13500E+04
   270    0.48502E+04    0.45250E+01    0.93585E+02    0.19799E+07    0.13385E+04
   271    0.48223E+04    0.46533E+01    0.94807E+02    0.19716E+07    0.13270E+04
   272    0.47941E+04    0.47839E+01    0.95999E+02    0.19634E+07    0.13157E+04
   273    0.47655E+04    0.49163E+01    0.97174E+02    0.19552E+07    0.13044E+04
   274    0.47366E+04    0.50510E+01    0.98310E+02    0.19471E+07    0.12932E+04
   275    0.47074E+04    0.51875E+01    0.99430E+02    0.19390E+07    0.12821E+04
   276    0.46780E+04    0.53260E+01    0.10051E+03    0.19309E+07    0.12710E+04
   277    0.46481E+04    0.54666E+01    0.10158E+03    0.19230E+07    0.12601E+04
   278    0.46180E+04    0.56091E+01    0.10260E+03    0.19150E+07    0.12492E+04
   279    0.45876E+04    0.57534E+01    0.10360E+03    0.19072E+07    0.12384E+04
   280    0.45569E+04    0.58997E+01    0.10458E+03    0.18994E+07    0.12277E+04
   281    0.45262E+04    0.60478E+01    0.10552E+03    0.18916E+07    0.12171E+04
   282    0.44949E+04    0.61976E+01    0.10643E+03    0.18838E+07    0.12065E+04
   283    0.44636E+04    0.63493E+01    0.10731E+03    0.18762E+07    0.11960E+04
   284    0.44320E+04    0.65027E+01    0.10816E+03    0.18685E+07    0.11856E+04
   285    0.44003E+04    0.66579E+01    0.10898E+03    0.18610E+07    0.11752E+04
   286    0.43682E+04    0.68147E+01    0.10975E+03    0.18534E+07    0.11649E+04
   287    0.43360E+04    0.69731E+01    0.11051E+03    0.18459E+07    0.11547E+04
   288    0.43036E+04    0.71332E+01    0.11123E+03    0.18385E+07    0.11446E+04
   289    0.42710E+04    0.72948E+01    0.11191E+03    0.18311E+07    0.11345E+04
   290    0.42383E+04    0.74577E+01    0.11257E+03    0.18237E+07    0.11245E+04
   291    0.42055E+04    0.76228E+01    0.11317E+03    0.18164E+07    0.11145E+04
   292    0.41723E+04    0.77889E+01    0.11376E+03    0.18092E+07    0.11046E+04
   293    0.41392E+04    0.79556E+01    0.11430E+03    0.18019E+07    0.10948E+04
   294    0.41058E+04    0.81244E+01    0.11481E+03    0.17948E+07    0.10851E+04
   295    0.40726E+04    0.82939E+01    0.11529E+03    0.17876E+07    0.10753E+04
   296    0.40390E+04    0.84654E+01    0.11572E+03    0.17805E+07    0.10657E+04
   297    0.40055E+04    0.86369E+01    0.11613E+03    0.17735E+07    0.10561E+04
   298    0.39717E+04    0.88104E+01    0.11650E+03    0.17665E+07    0.10466E+04
   299    0.39380E+04    0.89853E+01    0.11682E+03    0.17595E+07    0.10371E+04
   300    0.39041E+04    0.91600E+01    0.11711E+03    0.17526E+07    0.10277E+04
   301    0.38702E+04    0.93361E+01    0.11736E+03    0.17457E+07    0.10184E+04
   302    0.38363E+04    0.95128E+01    0.11759E+03    0.17388E+07    0.10090E+04
   303    0.38024E+04    0.96908E+01    0.11776E+03    0.17320E+07    0.99979E+03
   304    0.37684E+04    0.98702E+01    0.11790E+03    0.17252E+07    0.99059E+03
